Sr.No,TradeType(l/s),positional,costPercent,startTime,cutOffTime,endTime,candlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
1,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,0,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
2,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,1,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
3,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,2,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
4,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,3,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
5,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,4,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
6,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,5,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
7,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,6,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
8,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,7,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
9,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,8,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
10,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,9,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
11,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,10,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
12,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,15,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
13,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,20,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
14,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,25,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
15,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,30,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
16,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,35,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
17,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,40,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
18,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,50,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
19,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,60,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
20,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,70,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
21,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,80,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
22,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,90,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
23,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,100,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
24,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,125,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
25,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,150,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
26,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,175,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
27,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,15,200,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
28,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,20,2,0,1000,20,0,1000,0,1000,TRUE,1000,1000,1000,1.5,1000,10,5
