S.no,Date,TotalTrades,Profit,Profit%,ProfitCost,ProfitCost%,
1,13-01-15,2,-16.351562,-0.08653473,-54.021484,-0.28649333,
1,19-01-15,1,25.601562,0.13217838,6.220703,0.032116886,
1,21-01-15,2,547.4004,2.7967458,507.95703,2.5953426,
1,22-01-15,1,-55.20117,-0.27708927,-75.0957,-0.37695238,
1,28-01-15,2,436.79883,2.159267,396.0078,1.958185,
1,30-01-15,1,-106.69922,-0.5196791,-127.177734,-0.6194199,
1,03-02-15,1,-74.19922,-0.3741766,-93.990234,-0.47398,
1,05-02-15,1,-154.84961,-0.8008813,-174.10742,-0.90048265,
1,11-02-15,1,-101.65039,-0.53382623,-120.64258,-0.6335654,
1,16-02-15,1,460.5,2.4327557,441.33984,2.3315353,
1,19-02-15,1,-84.5,-0.4366406,-103.81055,-0.5364249,
1,24-02-15,1,-111.95117,-0.5902325,-130.86328,-0.6899415,
1,09-03-15,1,-467.1504,-2.3581424,-486.72656,-2.4569619,
1,11-03-15,1,-130.25,-0.67967045,-149.34961,-0.779336,
1,13-03-15,1,-195.25,-1.0127338,-214.4336,-1.1122363,
1,17-03-15,1,3.1503906,0.016667765,-15.751953,-0.08333882,
1,19-03-15,1,-161.05078,-0.83271694,-180.31055,-0.9323,
1,31-03-15,2,188.84961,1.0520519,152.50586,0.8515359,
1,06-04-15,2,115.60156,0.63093364,78.73633,0.43061572,
1,07-04-15,1,-191.59961,-1.0283307,-210.13672,-1.127821,
1,10-04-15,1,254.19922,1.3702353,235.52148,1.2695549,
1,13-04-15,1,-58.15039,-0.30852205,-76.96875,-0.4083645,
1,15-04-15,1,-76.44922,-0.40178913,-95.4375,-0.5015846,
1,17-04-15,1,-217.05078,-1.1619421,-235.62305,-1.2613653,
1,29-04-15,2,37.54883,0.20955661,1.0292969,0.009444684,
1,12-05-15,2,-121.95117,-0.6804564,-157.71484,-0.8801312,
1,13-05-15,1,-139.80078,-0.7816191,-157.61719,-0.8812297,
1,15-05-15,1,53.75,0.29637104,35.585938,0.19621658,
1,19-05-15,2,131.84961,0.72021616,95.1582,0.51986074,
1,22-05-15,1,19.199219,0.103164755,0.5800781,0.003116982,
1,01-06-15,1,-4.701172,-0.025112895,-23.417969,-0.12509498,
1,08-06-15,1,-93.84961,-0.53626204,-111.302734,-0.6359902,
1,09-06-15,1,-94.90039,-0.5412488,-112.38672,-0.6409792,
1,11-06-15,1,-38.5,-0.21701571,-56.222656,-0.3169143,
1,15-06-15,1,-129.0,-0.7365915,-146.44727,-0.83621556,
1,17-06-15,1,113.39844,0.64925987,95.87695,0.5489411,
1,18-06-15,1,20.09961,0.11350388,2.3828125,0.013455907,
1,19-06-15,1,-39.94922,-0.22445463,-57.726562,-0.3243366,
1,23-06-15,1,-106.25,-0.5756686,-124.6543,-0.6753841,
1,24-06-15,1,-31.09961,-0.1684917,-49.541016,-0.2684037,
1,26-06-15,1,-151.70117,-0.82105815,-170.10156,-0.92064726,
1,29-06-15,1,-533.1504,-2.8969896,-551.2871,-2.9955397,
1,30-06-15,1,-15.550781,-0.085368805,-33.757812,-0.18531957,
1,02-07-15,2,240.79883,1.3168274,203.79297,1.1161807,
1,03-07-15,1,-72.14844,-0.38618296,-90.79492,-0.48599046,
1,06-07-15,1,-234.34961,-1.252674,-252.93945,-1.3520426,
1,07-07-15,1,137.94922,0.73567426,119.12891,0.6353067,
1,14-07-15,2,358.39844,1.9279484,320.95117,1.7269882,
1,15-07-15,1,-50.34961,-0.26661164,-69.21094,-0.3664863,
1,21-07-15,1,-93.09961,-0.48847082,-112.11133,-0.58822066,
1,23-07-15,1,-68.09961,-0.35814664,-87.08008,-0.4579679,
1,30-07-15,1,9.798828,0.053197976,-8.625,-0.046825245,
1,03-08-15,1,-73.5,-0.38751107,-92.43164,-0.4873236,
1,04-08-15,1,-287.55078,-1.5094727,-306.45703,-1.6087195,
1,07-08-15,1,-61.05078,-0.32111287,-80.0332,-0.420956,
1,10-08-15,1,5.5507812,0.02922856,-13.443359,-0.07078825,
1,17-08-15,2,353.6504,1.9270277,316.2578,1.7260557,
1,24-08-15,1,-630.9492,-3.5051758,-648.63477,-3.6034265,
1,28-08-15,1,153.14844,0.8882006,135.83008,0.787761,
1,04-09-15,1,-449.8994,-2.7280521,-466.16602,-2.8266878,
1,11-09-15,1,14.050781,0.08464403,-2.5566406,-0.015401589,
1,15-09-15,1,46.94922,0.28029716,30.175781,0.18015607,
1,24-09-15,1,-97.90039,-0.56804067,-115.08594,-0.6677552,
1,01-10-15,1,-91.94922,-0.53166896,-109.197266,-0.63140064,
1,06-10-15,1,-60.90039,-0.34517965,-78.51367,-0.44501066,
1,07-10-15,1,-80.0,-0.45271018,-97.63086,-0.55248106,
1,12-10-15,1,-88.15039,-0.49654496,-105.859375,-0.59629846,
1,19-10-15,1,166.59961,0.9408022,148.8086,0.8403349,
1,23-10-15,1,-54.09961,-0.3011222,-72.03711,-0.40096352,
1,06-11-15,1,-67.5,-0.3949239,-84.55859,-0.49472904,
1,10-11-15,1,-77.40039,-0.45560864,-94.34961,-0.5553783,
1,17-11-15,1,145.30078,0.85580796,128.25,0.75538045,
1,20-11-15,1,-20.15039,-0.11753611,-37.285156,-0.21748224,
1,30-11-15,2,333.04688,1.9322369,298.33008,1.7312713,
1,03-12-15,1,-93.65039,-0.5441658,-110.81445,-0.64389944,
1,07-12-15,1,-59.0,-0.34720284,-75.96289,-0.44702595,
1,11-12-15,1,-57.09961,-0.34172252,-73.78125,-0.4415567,
1,16-12-15,1,185.40039,1.1339127,168.95801,1.0333507,
1,18-12-15,1,-50.54883,-0.30291253,-67.21094,-0.40275976,
1,22-12-15,1,62.84961,0.37606233,46.10547,0.27587333,
1,29-12-15,1,-30.5,-0.1797586,-47.453125,-0.27967566,
1,30-12-15,1,-52.09961,-0.30611897,-69.09375,-0.40597054,
1,12-01-16,1,-101.30078,-0.62978804,-117.33496,-0.7294727,
1,13-01-16,1,-275.6006,-1.732694,-291.36914,-1.8318305,
1,21-01-16,1,-204.2998,-1.3411571,-219.43066,-1.440486,
1,14-06-16,1,-42.75,-0.24224325,-60.376953,-0.34212655,
1,16-06-16,2,74.15039,0.4195305,38.71289,0.21932596,
1,17-06-16,1,-53.851562,-0.3027571,-71.61133,-0.40260372,
1,22-06-16,1,-70.84961,-0.39977324,-88.53711,-0.49957606,
1,24-06-16,1,-523.7012,-2.9569008,-541.1504,-3.055422,
1,27-06-16,1,66.95117,0.3844322,49.501953,0.28423917,
1,05-07-16,1,-43.351562,-0.23940492,-61.439453,-0.33929357,
1,07-07-16,1,-26.84961,-0.14838956,-44.929688,-0.24831262,
1,11-07-16,1,-35.25,-0.19176993,-53.615234,-0.29168198,
1,13-07-16,2,80.60156,0.43577343,43.476562,0.23555715,
1,18-07-16,1,156.19922,0.8259679,137.21094,0.7255596,
1,26-07-16,1,213.05078,1.1344043,194.16406,1.0338407,
1,01-08-16,1,-55.5,-0.29176664,-74.49414,-0.39161992,
1,08-08-16,1,15.75,0.08318896,-3.1914062,-0.016856493,
1,19-08-16,2,167.59961,0.8754706,128.92383,0.67503345,
1,24-08-16,1,-24.84961,-0.12852238,-44.171875,-0.22845729,
1,25-08-16,1,12.701172,0.06554987,-6.6816406,-0.034483485,
1,01-09-16,4,277.14844,1.4327937,198.0918,1.0320964,
1,07-09-16,2,612.99805,3.0736468,572.46875,2.8721054,
1,21-09-16,2,-59.20117,-0.29729623,-98.98047,-0.49715257,
1,28-09-16,2,-119.09961,-0.60556394,-158.3711,-0.8052522,
1,04-10-16,2,-117.94922,-0.60169816,-157.0957,-0.8013991,
1,10-10-16,1,-42.75,-0.21976836,-62.18164,-0.31966212,
1,19-10-16,1,41.0,0.21155012,21.59961,0.11144878,
1,24-10-16,1,166.34961,0.8457924,146.59766,0.7453651,
1,26-10-16,1,-244.79883,-1.232548,-264.5371,-1.3319292,
1,28-10-16,2,25.0,0.13035262,-13.996094,-0.06970179,
1,02-11-16,1,-43.59961,-0.22626051,-62.847656,-0.3261484,
1,09-11-16,1,-325.04883,-1.6755655,-344.28516,-1.7747253,
1,12-01-17,2,340.95117,1.8711169,303.42773,1.6701772,
1,17-01-17,1,123.65039,0.65201837,104.62305,0.55168563,
1,27-01-17,2,1223.1504,6.410215,1184.3574,6.2070084,
1,01-02-17,1,-128.84961,-0.6558434,-148.42969,-0.7555058,
1,02-02-17,1,-113.94922,-0.5660006,-134.02539,-0.6657216,
1,03-02-17,1,-69.19922,-0.34248137,-89.37109,-0.4423162,
1,10-02-17,1,-54.5,-0.26873237,-74.75391,-0.36860174,
1,17-02-17,1,266.8496,1.3180003,246.4707,1.2173467,
1,21-02-17,1,-1.9003906,-0.009200053,-22.55664,-0.10919981,
1,22-02-17,1,132.45117,0.6389517,111.6543,0.53862643,
1,23-02-17,1,-44.04883,-0.21033023,-64.96875,-0.31022146,
1,02-03-17,1,-30.5,-0.14637318,-51.322266,-0.24630176,
1,06-03-17,2,49.65039,0.24554619,8.457031,0.045429766,
1,10-03-17,1,-37.0,-0.178266,-57.73633,-0.27817366,
1,15-03-17,1,-46.09961,-0.21740791,-67.2793,-0.31729233,
1,16-03-17,1,-16.449219,-0.077421755,-37.6875,-0.17738424,
1,24-03-17,1,242.60156,1.1623192,221.60938,1.0617442,
1,31-03-17,2,190.50195,0.89567345,147.65234,0.6952221,
1,06-04-17,1,-60.648438,-0.28008348,-82.271484,-0.37994194,
1,12-04-17,2,91.49805,0.42452988,48.322266,0.22432072,
1,26-04-17,1,182.59961,0.82924813,160.48828,0.72883296,
1,27-04-17,1,-17.048828,-0.076517,-39.322266,-0.17648262,
1,02-05-17,1,-34.20117,-0.15312095,-56.51953,-0.25304174,
1,05-05-17,1,7.048828,0.031070035,-15.642578,-0.068949826,
1,10-05-17,1,-3.2988281,-0.01446699,-26.09961,-0.11445967,
1,11-05-17,1,-6.5996094,-0.028818939,-29.496094,-0.1288025,
1,15-05-17,1,-20.40039,-0.08946363,-43.19336,-0.18941964,
1,19-05-17,1,-88.69922,-0.3879775,-111.51758,-0.4877868,
1,23-05-17,1,-123.84961,-0.5454092,-146.49414,-0.6451312,
1,29-05-17,1,-56.5,-0.242192,-79.80078,-0.34207276,
1,31-05-17,2,-102.14844,-0.43786153,-148.72852,-0.63764775,
1,01-06-17,1,-46.75,-0.20006718,-70.09375,-0.29996702,
1,02-06-17,1,-32.40039,-0.1384919,-55.779297,-0.23842247,
1,06-06-17,1,-32.09961,-0.13689466,-55.533203,-0.23683152,
1,07-06-17,1,-27.398438,-0.11661291,-50.88086,-0.21655853,
1,08-06-17,1,3.2988281,0.013999054,-20.267578,-0.0860084,
1,12-06-17,1,-72.75,-0.30778018,-96.34961,-0.407622,
1,16-06-17,1,-41.20117,-0.17564328,-64.63867,-0.27555886,
1,20-06-17,2,241.15039,1.0254736,193.83203,0.82496834,
1,22-06-17,1,114.39844,0.48292205,90.65234,0.38268018,
1,29-06-17,1,-182.44922,-0.77828896,-205.80078,-0.87790173,
1,03-07-17,2,-70.25,-0.3010828,-116.76953,-0.50093526,
1,04-07-17,1,-93.59961,-0.40127587,-116.87695,-0.5010694,
1,05-07-17,1,-11.400391,-0.048917584,-34.69922,-0.14888982,
1,06-07-17,1,38.70117,0.16525933,15.263672,0.065177985,
1,11-07-17,3,255.5,1.0893395,184.65625,0.7888032,
1,13-07-17,1,190.19922,0.80323166,166.42383,0.7028256,
1,17-07-17,1,-13.050781,-0.054403417,-37.033203,-0.15437642,
1,18-07-17,3,-6.5996094,-0.026412368,-78.791016,-0.32639626,
1,20-07-17,2,11.099609,0.046217777,-37.29883,-0.1538119,
1,25-07-17,2,-56.851562,-0.2316568,-105.9043,-0.43153858,
1,26-07-17,1,-12.701172,-0.05170792,-37.257812,-0.15168081,
1,27-07-17,1,293.64844,1.193848,268.9043,1.0932491,
1,01-08-17,1,152.85156,0.6140664,127.884766,0.5137647,
1,07-08-17,1,158.44922,0.64059615,133.63477,0.5402735,
1,14-08-17,1,-55.20117,-0.22813652,-79.36914,-0.3280184,
1,21-08-17,2,-9.701172,-0.038733512,-57.978516,-0.23871453,
1,24-08-17,3,79.39844,0.3304162,6.658203,0.030254334,
1,28-08-17,1,-11.400391,-0.04679464,-35.757812,-0.14677338,
1,30-08-17,1,-14.400391,-0.059230883,-38.70508,-0.15919957,
1,01-09-17,1,129.59961,0.53321105,105.23047,0.4329492,
1,05-09-17,1,-102.09961,-0.41891485,-126.41992,-0.51870114,
1,07-09-17,2,-107.79883,-0.4420069,-156.51562,-0.64178056,
1,12-09-17,1,3.0507812,0.012317581,-21.71875,-0.08768982,
1,13-09-17,1,29.34961,0.11822316,4.5097656,0.018165788,
1,15-09-17,1,-70.55078,-0.28319716,-95.427734,-0.38305548,
1,19-09-17,1,-33.15039,-0.13223368,-58.203125,-0.23216662,
1,22-09-17,1,-286.20117,-1.1525661,-310.89062,-1.2519934,
1,26-09-17,1,-81.64844,-0.3378377,-105.77539,-0.43766806,
1,04-10-17,2,-133.80078,-0.5531776,-182.09375,-0.7529062,
1,06-10-17,1,-13.650391,-0.05651224,-37.79883,-0.15648611,
1,09-10-17,1,-46.15039,-0.19025126,-70.384766,-0.29015553,
1,10-10-17,1,27.199219,0.111934856,2.8847656,0.011871879,
1,11-10-17,1,-98.19922,-0.40202743,-122.57617,-0.50182664,
1,13-10-17,1,484.5,2.0038588,460.07812,1.9028517,
1,17-10-17,1,-70.0,-0.2823298,-94.75781,-0.38218504,
