sno,TradeType(l/s),Positional,costPercent,startTime,cutOffTime,endTime,CandlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
1,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-1000,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
2,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-1000,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
3,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-1000,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
4,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-1000,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
5,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-1000,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
6,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-1000,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
7,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-1000,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
8,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,15,-1000,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
9,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-1000,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
10,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-1000,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
11,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-1000,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
12,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-1000,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
13,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-1000,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
14,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-1000,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
15,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-1000,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
16,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-1000,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
17,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-1000,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
18,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-1000,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
19,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-1000,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
20,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0.5,1000,20,-1000,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
21,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,60,2,0.5,1000,15,-1000,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
22,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,60,2,0.5,1000,15,-1000,-10,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
23,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,60,2,0.5,1000,15,-1000,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
24,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,60,2,0.5,1000,15,-1000,-20,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
25,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,60,2,0.5,1000,20,-1000,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
26,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,60,2,0.5,1000,20,-1000,-20,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
27,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,60,2,0.5,1000,30,-3,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
28,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0.5,1000,30,-7,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
29,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0.5,1000,30,-7,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
30,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0.5,1000,30,-7,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
31,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,2,0.5,1000,15,-10,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
32,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0.5,1000,20,-20,-15,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
33,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,2,0.5,1000,30,-20,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
34,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,2,0.5,1000,30,-20,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
35,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,2,0.5,1000,30,-20,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
36,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,2,0.5,1000,30,-20,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5
