sno,TradeType(l/s),Positional,costPercent,startTime,cutOffTime,endTime,CandlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap,TradingDays,TotalTrades,TradeMaxProfit,TradeMaxLoss,DayMaxProfit,DayMaxLoss,TradeAverageProfit,TradeAverageLoss,TradeWinPercent,TradeWinPercent(Cost),TradeExpectancy,TradeExpectancy(Cost),Profit,Profit %,DayAverageProfit,DayAverageLoss,DayWinPercent,DayExpectancy,ProfitCost,ProfitCost %,DayWinPercent(Cost),DayAverageProfit(Cost),DayAverageLoss(Cost),DayExpectancy(Cost),HoldingPeriodAvg,Calmar
1,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,15,-1000,0,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,451,553,2002.3984,-686.5508,3765.5977,-686.5508,212.46718,-98.37468,40.50633,34.358047,1.4704851,0.98719484,15227.375,46.906075,260.25055,-109.84229,38.802658,1.5022802,-541.1279,-8.4174385,33.037697,262.99072,-131.5455,0.98637897,17.631104,-0.24592736
2,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,15,-1000,-1,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,448,546,2002.3984,-686.5508,3765.5977,-686.5508,211.40787,-98.08432,40.65934,34.432236,1.4768265,0.99005723,15153.227,47.256065,259.44363,-108.11098,38.61607,1.5096858,-412.96973,-7.367616,32.8125,262.5133,-129.57617,0.9894116,17.684982,-0.21640094
3,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,15,-1000,-2,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,447,544,2002.3984,-686.5508,3765.5977,-686.5508,211.40787,-97.45674,40.808823,34.558823,1.4955686,1.0017858,15551.477,48.154213,259.44363,-107.05208,38.70246,1.5301833,73.299805,-6.269917,32.885906,262.5133,-128.38719,1.0019032,17.724264,-0.18415941
4,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,15,-1000,-3,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,446,542,2002.3984,-686.5508,3765.5977,-686.5508,211.78868,-97.55957,40.77491,34.501846,1.4945834,1.0020512,15488.676,48.061836,260.2122,-106.816864,38.56502,1.529205,84.01074,-6.1622434,32.735424,263.75482,-128.08066,1.0021862,17.723248,-0.1805563
5,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,15,-1000,-4,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,442,537,2002.3984,-686.5508,3765.5977,-686.5508,211.96443,-98.0416,40.595905,34.264435,1.4774692,0.99160933,14932.973,45.87841,261.4689,-107.16217,38.235294,1.510437,-342.88184,-7.844585,32.579185,264.13855,-128.78801,0.991066,17.692738,-0.22160617
6,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,15,-1000,-5,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,439,530,2002.3984,-686.5508,3765.5977,-686.5508,210.99066,-97.994835,40.56604,34.339622,1.4695624,0.98670304,14494.622,43.682655,256.09378,-106.61195,38.496582,1.5035436,-535.54004,-9.339248,32.57403,260.22815,-127.527596,0.9858127,17.656603,-0.24916622
7,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,15,-1000,-6,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,437,526,2002.3984,-686.5508,3765.5977,-686.5508,210.99066,-98.57419,40.874527,34.60076,1.4797151,0.99475634,14706.422,44.561874,254.93822,-107.23999,38.901604,1.5136164,-209.4834,-8.060474,32.951946,258.8112,-127.91226,0.9944107,17.693916,-0.21504922
8,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,15,-1000,-7,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,432,520,2002.3984,-686.5508,3765.5977,-686.5508,212.24055,-98.44358,40.76923,34.423077,1.4839733,0.9985247,14674.371,43.938515,257.3305,-106.791794,38.657406,1.518532,-58.280273,-8.083542,32.63889,262.56714,-127.42352,0.99842817,17.717308,-0.21140417
9,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,15,-1000,-8,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,427,515,2002.3984,-686.5508,3765.5977,-686.5508,211.40681,-99.215096,41.165047,34.75728,1.4908516,1.004205,14756.07,44.403244,256.27213,-107.85144,39.11007,1.5262247,164.44043,-7.1190352,33.021076,261.31296,-128.25414,1.004483,17.718447,-0.19077328
10,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,20,2,0,1000,15,-1000,-9,0,1000,TRUE,1000,1000,1000,1.5,1000,1,5,422,509,2002.3984,-686.5508,3765.5977,-686.5508,210.555,-99.87063,41.257366,34.774067,1.4807298,0.99835646,14355.228,43.4918,254.19127,-108.752045,39.336494,1.5156236,-63.756836,-7.430001,33.175354,259.33252,-128.97273,0.9982469,17.719057,-0.20130938
