S.no,Date,TotalTrades,Profit,Profit%,ProfitCost,ProfitCost%,
1025,14-03-16,1,42.25,0.2757158,26.905273,0.17557892,
1025,11-04-16,1,13.600586,0.08677967,-2.078125,-0.013259648,
1025,20-09-19,1,1279.4512,4.688077,1251.5195,4.585732,
1025,04-10-19,1,-181.44922,-0.6317276,-210.08203,-0.7314147,
1025,08-02-21,1,-5.0,-0.01376419,-41.32422,-0.11375888,
1025,01-02-23,1,-85.05078,-0.20698935,-126.09766,-0.30688575,
1026,20-09-19,1,1279.4512,4.688077,1251.5195,4.585732,
1026,08-02-21,1,-5.0,-0.01376419,-41.32422,-0.11375888,
1027,25-01-16,1,-72.5,-0.4638946,-88.09277,-0.5636657,
1027,27-01-16,1,-75.950195,-0.48636448,-91.52734,-0.5861164,
1027,08-02-16,4,152.95117,1.0032384,91.87207,0.6027502,
1027,26-02-16,1,36.950195,0.26864374,23.177734,0.16851205,
1027,02-03-16,1,88.649414,0.59503436,73.70703,0.49473783,
1027,04-03-16,1,-75.549805,-0.4899119,-90.93359,-0.58966994,
1027,09-03-16,5,183.24902,1.2048349,107.04297,0.70422304,
1027,14-03-16,2,-87.25,-0.5674737,-117.95703,-0.76719785,
1027,16-03-16,5,273.05078,1.7733378,195.83301,1.2724539,
1027,21-03-16,3,130.50098,0.8280951,83.15723,0.5276943,
1027,01-04-16,2,-76.350586,-0.47061962,-108.75293,-0.67038786,
1027,11-04-16,2,237.30078,1.511519,205.78223,1.3107574,
1027,13-04-16,1,43.200195,0.2667041,26.981445,0.16657475,
1027,21-04-16,1,-17.09961,-0.102237076,-33.816406,-0.20218533,
1027,09-05-16,3,9.498047,0.057492502,-40.19922,-0.24252519,
1027,12-05-16,4,47.55078,0.2825811,-20.097656,-0.11755557,
1027,16-05-16,3,378.79883,2.275179,328.6582,1.9740373,
1027,25-05-16,1,70.34961,0.41938424,53.541016,0.319181,
1027,30-05-16,1,-155.10156,-0.878735,-172.67578,-0.9783025,
1027,03-06-16,1,-6.048828,-0.034147933,-23.759766,-0.1341329,
1027,30-06-16,2,24.15039,0.13544871,-11.525391,-0.064622134,
1027,22-11-16,1,-12.400391,-0.06680075,-30.957031,-0.16676515,
1027,30-11-16,4,185.4961,0.99904627,111.05664,0.5985553,
1027,02-12-16,1,-189.40039,-1.0275016,-207.73828,-1.1269851,
1027,09-12-16,1,49.25,0.26410908,30.578125,0.16397889,
1027,27-12-16,1,8.099609,0.045324292,-9.775391,-0.05470173,
1027,23-02-18,2,278.8496,1.1109521,228.50781,0.9103938,
1027,06-03-18,2,-258.20117,-1.0322053,-308.10156,-1.2316916,
1027,12-10-18,2,293.89844,1.1638517,243.23047,0.96327174,
1027,16-10-18,1,6.1992188,0.024230557,-19.388672,-0.075783476,
1027,17-10-18,2,-330.5,-1.2799927,-381.97656,-1.4793593,
1027,22-10-18,3,212.40234,0.8407871,136.50977,0.54037535,
1027,24-10-18,1,-152.0,-0.6025637,-177.15039,-0.7022657,
1027,29-10-18,1,186.94922,0.7543735,162.07422,0.65399843,
1027,02-11-18,4,609.6992,2.3811946,506.9707,1.9800024,
1027,23-05-19,2,-135.5,-0.43434978,-197.81836,-0.63413393,
1027,24-05-19,1,108.94922,0.35027623,77.791016,0.25010133,
1027,10-06-19,1,-197.79883,-0.6321552,-228.99023,-0.7318414,
1027,13-06-19,2,30.0,0.09692322,-31.929688,-0.1031307,
1027,08-08-19,1,186.44922,0.6663744,158.375,0.5660364,
1027,23-08-19,1,-184.79883,-0.6802365,-211.87305,-0.77989554,
1027,30-08-19,1,25.59961,0.09332857,-1.84375,-0.0067217653,
1027,12-09-19,2,-179.15039,-0.63955814,-235.08203,-0.83924323,
1027,23-09-19,2,1098.5996,3.6745458,1038.2539,3.4727082,
1027,01-10-19,3,-911.25,-3.0915134,-999.2129,-3.389966,
1027,09-10-19,3,1432.4512,5.0670023,1346.8809,4.7644672,
1027,11-10-19,1,-335.0,-1.174462,-363.35547,-1.2738721,
1027,15-10-19,1,-124.95117,-0.43583462,-153.55664,-0.5356116,
1027,22-10-19,2,162.20117,0.55103433,103.24609,0.35075754,
1027,04-11-19,1,-125.55078,-0.41074637,-156.05469,-0.51054156,
1027,06-11-19,6,950.7969,3.1252356,767.5918,2.5236688,
1027,15-11-19,1,-49.25,-0.15874884,-80.24805,-0.25866568,
1027,04-02-20,3,857.75,2.8315408,766.4336,2.5301359,
1027,11-02-20,3,-263.10156,-0.8365578,-357.31445,-1.1361357,
1027,19-02-20,1,-175.15039,-0.567513,-205.92578,-0.6672297,
1027,06-03-20,1,-88.29883,-0.31691092,-116.11719,-0.41675302,
1027,23-06-20,2,128.44922,0.578835,84.0,0.3785382,
1027,30-06-20,3,-300.95117,-1.3920407,-365.55664,-1.6913425,
1027,02-07-20,2,-376.49805,-1.6951619,-420.73242,-1.8943248,
1027,06-07-20,1,-38.5,-0.17277397,-60.765625,-0.27269396,
1027,07-07-20,2,613.0508,2.743753,568.0586,2.542389,
1027,15-07-20,4,494.69727,2.2906957,407.81836,1.8895648,
