sno,TradeType(l/s),Positional,costPercent,startTime,cutOffTime,endTime,CandlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
15001,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,0,3,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15002,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,70,2,1,3,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15003,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,0,4,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15004,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,2,0,10,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15005,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,2,0,6,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15006,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,2,1,6,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15007,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,60,2,2,4,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15008,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,2,4,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15009,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,2,2,6,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15010,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0,8,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15011,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,2,3,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15012,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,1,5,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15013,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0,15,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15014,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,2,3,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15015,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,1,8,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15016,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,1,5,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15017,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0,3,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15018,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,2,3,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15019,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,1,3,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15020,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0,20,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15021,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0,8,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15022,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,3,0,5,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15023,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,0,2,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15024,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,3,1,2,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15025,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,90,3,1,5,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15026,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,90,3,1,4,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15027,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,90,3,1,4,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15028,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,90,3,2,5,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15029,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,90,3,2,4,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15030,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,2,3,4,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15031,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,3,2,6,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15032,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,3,0,4,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15033,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,100,3,2,4,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15034,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,0,2,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15035,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,50,3,1,2,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15036,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,3,3,5,15,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15037,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,4,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15038,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,30,2,0,20,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15039,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,40,2,0,20,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15040,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,60,2,1,4,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15041,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,0,4,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
15042,l,TRUE,0.05,09:16,15:10,15:15,15,0,1.5,-100,100,80,2,1,4,20,4,200,0,1000,TRUE,1000,1000,1000,1000,1000,1,5
