Sr.No,TradeType(l/s),positional,costPercent,startTime,cutOffTime,endTime,candlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
1025,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,20,175,200,0.15,0.3,TRUE,1000,1000,1000,1.5,1000,10,5
1026,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,2,1000,20,175,200,0.15,0.3,TRUE,1000,1000,1000,1.5,1000,10,5
1027,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,20,50,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5
1028,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,20,50,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5
1029,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5.5,20,50,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5
1030,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5,20,50,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5
1031,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,2,20,50,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5
1032,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,30,100,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5
1033,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,30,100,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5
1034,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1.5,20,50,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5
1035,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1.5,1000,30,100,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5
1036,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,1.5,1000,30,175,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5
1037,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,2.5,1000,30,175,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5
1038,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,175,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5
1039,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,200,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5
1040,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,175,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5
1041,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,200,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5
1042,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,15,150,175,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5
1043,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,3.5,15,150,175,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5
1044,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,20,175,200,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5
1045,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,2,1000,20,175,200,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5
1046,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,20,50,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1047,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,20,50,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1048,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5.5,20,50,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1049,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5,20,50,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1050,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,2,20,50,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1051,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,30,100,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1052,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,30,100,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1053,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1.5,20,50,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1054,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1.5,1000,30,100,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1055,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,1.5,1000,30,175,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1056,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,2.5,1000,30,175,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1057,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,175,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1058,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,200,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1059,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,175,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1060,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,200,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
1061,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,15,150,175,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5
