Sr.No,TradeType(l/s),positional,costPercent,startTime,cutOffTime,endTime,candlePeriod,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap,TradingDays,TotalTrades,TradeMaxProfit,TradeMaxLoss,DayMaxProfit,DayMaxLoss,TradeAverageProfit,TradeAverageLoss,TradeWinPercent,TradeWinPercent(Cost),TradeExpectancy,TradeExpectancy(Cost),Profit,Profit %,DayAverageProfit,DayAverageLoss,DayWinPercent,DayExpectancy,ProfitCost,ProfitCost %,DayWinPercent(Cost),DayAverageProfit(Cost),DayAverageLoss(Cost),DayExpectancy(Cost),HoldingPeriodAvg,Calmar
1025,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,20,175,200,0.15,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,6,6,1279.4512,-181.44922,1279.4512,-181.44922,445.1006,-90.5,50.0,33.333336,4.9182386,3.3679807,1063.8018,4.198091,445.1006,-90.5,50.0,4.9182386,898.8428,3.5959918,33.333336,639.2124,-94.89551,3.3679807,58.333332,3.12136
1026,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,2,1000,20,175,200,0.15,0.3,TRUE,1000,1000,1000,1.5,1000,10,5,2,2,1279.4512,-5.0,1279.4512,-5.0,1279.4512,-5.0,50.0,50.0,255.89023,30.285378,1274.4512,4.6743126,1279.4512,-5.0,50.0,255.89023,1210.1953,4.471973,50.0,1251.5195,-41.32422,30.285378,90.0,39.310925
1027,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,20,50,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,212,432,836.10156,-606.25,2921.5078,-1170.8516,180.74748,-143.7882,61.57407,53.47222,2.0142922,1.3929601,24209.99,84.17889,431.18512,-221.25424,51.415092,2.0623453,11572.593,40.936775,43.396225,433.52158,-235.92825,1.408761,139.24768,4.8398776
1028,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,20,50,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,211,431,836.10156,-606.25,2921.5078,-1170.8516,180.74748,-142.53903,61.716938,53.596287,2.04426,1.4115024,24559.889,85.1209,431.18512,-219.99303,51.658768,2.0945039,11959.46,41.978302,43.601894,433.52158,-234.65987,1.428278,139.3109,4.9630156
1029,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5.5,20,50,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,210,430,836.10156,-606.25,2921.5078,-1170.8516,181.09503,-142.53903,61.627907,53.488373,2.0404909,1.4089664,24471.238,84.525856,434.35678,-219.99303,51.428574,2.0905535,11885.753,41.483566,43.333332,437.4756,-234.65987,1.4256384,139.26512,4.904524
1030,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5,20,50,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,208,428,836.10156,-606.25,2921.5078,-1170.8516,180.81073,-140.1658,61.682243,53.504677,2.0765493,1.4292845,24746.836,85.252785,436.02225,-216.90633,51.442307,2.1296039,12232.472,42.410133,43.269234,439.8792,-231.83607,1.4471481,139.3972,5.01407
1031,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,2,20,50,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,162,332,818.5469,-384.69922,2921.5078,-911.25,174.53575,-125.977,65.96386,58.433735,2.6850903,1.7851835,23987.93,80.12643,407.0761,-201.01665,57.40741,2.729465,14210.085,46.886307,49.382717,397.42462,-214.43764,1.8081311,139.52109,7.2693186
1032,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,30,100,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,138,262,818.5469,-531.75,2427.293,-969.5,185.85231,-132.8766,57.251907,49.23664,1.8732368,1.2854407,12995.669,44.95112,375.84793,-222.17274,52.898552,1.8999008,5303.175,18.728655,45.652176,369.93478,-240.03622,1.2945765,141.09924,2.7293596
1033,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,30,100,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,137,261,818.5469,-531.75,2427.293,-969.5,185.85231,-130.92145,57.471264,49.425285,1.9183395,1.3127762,13345.567,45.893112,375.84793,-220.17703,53.284668,1.9470763,5690.042,19.770185,45.9854,369.93478,-238.05202,1.323007,141.21072,3.2690442
1034,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1.5,20,50,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,126,214,818.5469,-384.69922,1603.207,-714.64844,182.39163,-132.52505,65.42056,58.878506,2.603774,1.7493397,15727.973,52.288208,331.42242,-199.8276,61.11111,2.6062796,9256.885,30.861963,54.761906,311.86414,-215.11826,1.7549406,138.01869,6.3888254
1035,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1.5,1000,30,100,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,96,174,817.5,-531.75,1608.1992,-969.5,196.61993,-135.68886,58.04598,50.0,2.0048501,1.4056716,9953.328,34.520176,367.90308,-221.98921,55.208332,2.0427206,4977.75,17.10304,46.875,373.6906,-232.12408,1.4204774,146.39081,2.6171556
1036,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,1.5,1000,30,175,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,77,115,1602.5,-446.5,4133.0,-1148.752,261.96063,-139.11412,56.521736,52.173912,2.4479814,1.7945929,10071.736,38.231297,428.98837,-175.23183,50.64935,2.5125432,6787.291,26.712257,45.454548,430.55457,-197.19331,1.8195114,104.05218,5.7872725
1037,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,2.5,1000,30,175,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,29,37,1602.5,-246.65039,4133.0,-246.65039,318.72406,-118.8291,67.567566,62.162163,5.587928,3.9814527,6542.1523,24.28795,442.6723,-129.63174,62.068962,5.5879273,5468.246,20.575844,55.172413,456.39587,-141.08368,3.9814525,108.54054,11.929171
1038,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,175,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,14,17,1506.75,-113.55078,3959.25,-113.55078,454.52875,-80.05078,82.35294,76.47059,26.497362,17.35264,6123.25,21.701262,578.49115,-80.05078,78.57143,26.497355,5619.9424,19.990408,71.42857,596.36145,-85.91797,17.352642,122.70588,38.832047
1039,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3,1000,30,200,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,13,15,1506.75,-113.55078,3959.25,-113.55078,463.25455,-80.05078,80.0,73.333336,23.148033,15.181068,5318.9023,19.095045,555.90546,-80.05078,76.92308,23.148039,4873.634,17.585493,69.230774,579.7006,-85.91797,15.18107,123.13333,34.16042
1040,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,175,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,7,9,1441.8516,-97.85156,2468.1016,-97.85156,612.25726,-63.30078,77.77778,77.77778,33.852673,20.57518,4159.199,14.502663,857.16016,-63.30078,71.42857,33.852673,3877.2236,13.595422,71.42857,815.0584,-99.03418,20.575182,128.66667,38.793915
1041,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,100,2,3.5,1000,30,200,1000,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,7,8,1441.8516,-97.85156,2468.1016,-97.85156,603.4255,-63.30078,75.0,75.0,28.598011,17.381542,3493.9512,12.446677,724.11053,-63.30078,71.42857,28.598013,3244.665,11.640465,71.42857,688.5467,-99.03418,17.381544,129.125,33.215534
1042,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,15,150,175,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,7,7,1331.3008,-181.44922,1331.3008,-181.44922,383.35904,-181.44922,85.71429,71.42857,12.676575,10.0638485,2118.705,8.186375,383.35904,-181.44922,85.71429,12.676575,1916.4727,7.4822803,71.42857,425.58282,-105.7207,10.0638485,76.85714,10.229873
1043,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,3.5,15,150,175,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,7,7,1331.3008,-181.44922,1331.3008,-181.44922,383.35904,-181.44922,85.71429,71.42857,12.676575,10.0638485,2118.705,8.186375,383.35904,-181.44922,85.71429,12.676575,1916.4727,7.4822803,71.42857,425.58282,-105.7207,10.0638485,76.85714,10.229873
1044,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,1.5,1000,20,175,200,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,7,7,1279.4512,-181.44922,1279.4512,-181.44922,445.1006,-77.72461,42.857143,28.57143,4.294977,2.8979983,1024.4033,4.020454,445.1006,-77.72461,42.857143,4.294977,837.2842,3.318441,28.57143,639.2124,-88.22813,2.8979983,55.857143,2.3212206
1045,l,FALSE,0.05,09:16,15:10,15:15,1,1.5,4,-100,100,50,3,2,1000,20,175,200,0.15,0.35,TRUE,1000,1000,1000,1.5,1000,10,5,2,2,1279.4512,-5.0,1279.4512,-5.0,1279.4512,-5.0,50.0,50.0,255.89023,30.285378,1274.4512,4.6743126,1279.4512,-5.0,50.0,255.89023,1210.1953,4.471973,50.0,1251.5195,-41.32422,30.285378,90.0,39.310925
1046,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,1000,20,50,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,214,488,847.9492,-592.39844,3272.043,-1154.9492,180.03622,-148.16132,61.270493,53.483604,1.9223589,1.3368015,25828.34,88.69513,476.39294,-255.52773,51.40187,1.9719082,11550.126,39.85083,44.392525,465.42007,-274.49396,1.3535959,138.8504,2.9720418
1047,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,6,20,50,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,213,487,847.9492,-592.39844,3272.043,-1154.9492,180.03622,-146.99887,61.396305,53.593426,1.9478668,1.3527247,26195.04,89.681915,476.39294,-254.44838,51.643192,1.9994986,11953.806,40.937126,44.60094,465.42007,-273.39917,1.3705332,138.90349,3.3222065
1048,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5.5,20,50,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,213,487,847.9492,-592.39844,3272.043,-1154.9492,180.03622,-146.99887,61.396305,53.593426,1.9478668,1.3527247,26195.04,89.681915,476.39294,-254.44838,51.643192,1.9994986,11953.806,40.937126,44.60094,465.42007,-273.39917,1.3705332,138.90349,3.3222065
1049,l,FALSE,0.05,09:16,15:10,15:20,1,1.5,4,-100,100,170,2,1,5,20,50,1000,0.15,0.4,TRUE,1000,1000,1000,1.5,1000,10,5,211,484,847.9492,-592.39844,3272.043,-1154.9492,180.11104,-144.94139,61.363636,53.512394,1.9736165,1.3671376,26388.938,89.860725,477.66394,-251.72974,51.658768,2.0277493,12233.7705,41.41584,44.549763,467.30856,-270.88235,1.3860058,138.9752,3.848492
