S.no,Date,TotalTrades,Profit,Profit%,Cost,Cost%,
1,13-01-15,1,-22.75,-0.12046182,-41.625,-0.22040543,
1,27-02-15,1,-34.80078,-0.18403082,-53.69336,-0.2839371,
1,12-03-15,1,-60.15039,-0.3129451,-79.3418,-0.41279238,
1,17-03-15,1,-26.34961,-0.13851558,-45.359375,-0.2384468,
1,18-03-15,1,-35.59961,-0.18554172,-54.76953,-0.2854535,
1,19-03-15,1,-23.75,-0.12291211,-43.0625,-0.22285907,
1,16-04-15,1,-27.25,-0.1461463,-45.88086,-0.24606672,
1,12-05-15,1,-258.55078,-1.4277829,-276.53125,-1.5270755,
1,22-05-15,1,-36.75,-0.19747181,-55.341797,-0.29737267,
1,27-05-15,1,-19.25,-0.10443793,-37.67383,-0.2043936,
1,10-07-15,1,-44.25,-0.23771983,-62.841797,-0.33759868,
1,20-07-15,1,-35.15039,-0.18566115,-54.066406,-0.2855738,
1,29-07-15,1,-21.050781,-0.11452312,-39.421875,-0.21446787,
1,06-08-15,1,-29.40039,-0.15443735,-48.421875,-0.2543553,
1,11-08-15,1,-24.40039,-0.1308925,-43.029297,-0.23082466,
1,20-08-15,1,-77.84961,-0.42182454,-96.26758,-0.5216214,
1,14-09-15,1,-37.04883,-0.2200742,-53.865234,-0.31996554,
1,28-09-15,1,-48.15039,-0.2772139,-65.49609,-0.37707746,
1,29-09-15,1,-83.5,-0.49400097,-100.36133,-0.5937556,
1,20-10-15,1,-35.0,-0.19612347,-52.83008,-0.2960348,
1,20-11-15,1,-42.75,-0.24780454,-59.978516,-0.3476713,
1,15-12-15,1,-72.09961,-0.43914708,-88.481445,-0.53892624,
1,21-12-15,1,-43.54883,-0.25911203,-60.333984,-0.35898235,
1,15-06-16,1,-19.40039,-0.10965939,-37.08203,-0.20960367,
1,07-07-16,1,-26.050781,-0.14387411,-44.14453,-0.24380286,
1,18-07-16,1,-29.25,-0.15332037,-48.3125,-0.2532407,
1,21-07-16,1,-39.44922,-0.21070486,-58.152344,-0.31060138,
1,26-08-16,1,-25.0,-0.13032407,-44.16992,-0.23025617,
1,21-09-16,1,-33.5,-0.16812965,-53.408203,-0.26804486,
1,17-10-16,1,-73.19922,-0.38143963,-92.353516,-0.48125228,
1,20-10-16,1,-23.951172,-0.1218235,-43.59961,-0.2217619,
1,26-10-16,1,-78.59961,-0.39908406,-98.25586,-0.49888733,
1,09-11-16,1,-21.300781,-0.11340879,-40.072266,-0.21335122,
1,18-01-17,1,-42.601562,-0.22159402,-61.80664,-0.32149014,
1,24-01-17,1,-22.449219,-0.11836247,-41.404297,-0.21830225,
1,19-03-20,1,-108.04883,-0.56379384,-127.1582,-0.6635057,
1,23-03-20,1,-274.0,-1.491266,-292.23828,-1.5905293,
1,06-07-21,1,-39.05078,-0.11008716,-74.5,-0.21002126,
1,14-07-21,1,-118.30078,-0.33214977,-153.85938,-0.43198663,
1,15-07-21,1,-68.69922,-0.19132915,-104.57031,-0.2912311,
1,03-08-21,1,-45.80078,-0.13098343,-80.74609,-0.23092183,
1,09-08-21,1,-41.703125,-0.11561046,-77.75391,-0.21555138,
1,10-08-21,1,-69.25,-0.19094783,-105.48047,-0.2908486,
1,13-08-21,1,-42.0,-0.11628986,-78.09766,-0.21623728,
1,01-09-21,1,-121.94922,-0.33014214,-158.82812,-0.42998105,
1,14-09-21,1,-38.851562,-0.1057679,-75.56641,-0.20571886,
1,15-09-21,1,-40.601562,-0.11010041,-77.45703,-0.21004242,
1,23-09-21,1,-42.5,-0.11304545,-80.07422,-0.21298884,
1,28-10-21,1,-53.55078,-0.13419533,-93.42969,-0.23412968,
1,29-11-21,1,-65.85156,-0.18383352,-101.640625,-0.28374353,
1,02-08-22,1,-72.39844,-0.18983306,-110.5,-0.28973767,
1,04-08-22,2,-116.44922,-0.30720156,-192.20703,-0.50705385,
1,18-08-22,1,-39.75,-0.10069588,-79.20703,-0.20064959,
1,25-08-22,1,-105.80078,-0.26891723,-145.08984,-0.3687795,
1,16-09-22,1,-136.90234,-0.33389145,-177.83594,-0.43372452,
1,21-11-22,1,-59.097656,-0.13978447,-101.34766,-0.23971894,
1,24-11-22,2,-107.14844,-0.24944115,-193.00781,-0.4493198,
1,25-11-22,1,-76.44922,-0.17690068,-119.62891,-0.2768169,
1,13-12-22,1,-64.5,-0.14681798,-108.39844,-0.2467417,
1,03-01-23,1,-43.601562,-0.10036661,-87.02344,-0.20031959,
1,13-01-23,1,-71.39844,-0.1685068,-113.734375,-0.26842347,
1,23-01-23,1,-43.101562,-0.10043824,-85.99219,-0.20038493,
1,06-04-23,1,-50.351562,-0.122162126,-91.54297,-0.22210003,
1,28-04-23,1,-47.351562,-0.10995089,-90.390625,-0.20988812,
1,04-05-23,1,-54.94922,-0.12631553,-98.421875,-0.22624913,
1,11-05-23,1,-102.10156,-0.23428078,-145.6289,-0.334158,
1,17-05-23,1,-45.101562,-0.102938585,-88.890625,-0.20288154,
1,22-05-23,1,-71.85156,-0.1634593,-115.76953,-0.26337084,
1,01-06-23,1,-73.75,-0.16811647,-117.58203,-0.26803356,
1,05-06-23,1,-46.851562,-0.106002614,-91.02344,-0.20594236,
1,08-06-23,1,-107.5,-0.24206941,-151.85547,-0.34194943,
1,13-06-23,1,-62.046875,-0.1406603,-106.125,-0.24058545,
1,16-06-23,1,-124.69922,-0.28307566,-168.6914,-0.38294092,
1,19-10-23,1,-68.5,-0.15662889,-112.19922,-0.25654948,
1,13-11-23,1,-71.35156,-0.16285644,-115.12891,-0.26277608,
1,17-11-23,1,-55.5,-0.12646113,-99.359375,-0.22639818,
1,21-11-23,1,-65.65234,-0.15001775,-109.38281,-0.2499433,
1,02-01-24,2,9492.805,22.474218,9402.129,22.262978,
2,13-01-15,1,-48.09961,-0.25468868,-66.96094,-0.35455987,
2,12-03-15,1,-60.15039,-0.3129451,-79.3418,-0.41279238,
2,13-03-15,1,-44.45117,-0.23506328,-63.339844,-0.3349489,
2,17-03-15,1,-118.59961,-0.6234587,-137.5625,-0.72314346,
2,18-03-15,1,-50.40039,-0.26268196,-69.5625,-0.362553,
2,19-03-15,1,-59.80078,-0.3094838,-79.09375,-0.40932968,
2,16-04-15,1,-82.39844,-0.44191656,-101.00195,-0.54169035,
2,12-05-15,1,-258.55078,-1.4277829,-276.53125,-1.5270755,
2,22-05-15,1,-72.30078,-0.3884998,-90.875,-0.48830616,
2,28-05-15,1,-37.5,-0.20345052,-55.914062,-0.30335322,
2,10-07-15,1,-44.25,-0.23771983,-62.841797,-0.33759868,
2,20-07-15,1,-42.20117,-0.22290272,-61.11328,-0.32279477,
2,29-07-15,1,-44.80078,-0.24373087,-63.160156,-0.34361187,
2,07-08-15,1,-39.09961,-0.20538639,-58.115234,-0.30527356,
2,11-08-15,1,-56.25,-0.30174527,-74.86328,-0.40159366,
2,20-08-15,1,-77.84961,-0.42182454,-96.26758,-0.5216214,
2,14-09-15,1,-37.04883,-0.2200742,-53.865234,-0.31996554,
2,28-09-15,1,-48.15039,-0.2772139,-65.49609,-0.37707746,
2,29-09-15,1,-83.5,-0.49400097,-100.36133,-0.5937556,
2,20-10-15,1,-54.40039,-0.3048341,-72.2207,-0.4046907,
2,20-11-15,1,-42.75,-0.24780454,-59.978516,-0.3476713,
2,15-12-15,1,-72.09961,-0.43914708,-88.481445,-0.53892624,
2,21-12-15,1,-43.54883,-0.25911203,-60.333984,-0.35898235,
2,16-06-16,1,-42.44922,-0.23994131,-60.11914,-0.33981934,
2,07-07-16,1,-39.5,-0.21815188,-57.585938,-0.31803748,
2,18-07-16,1,-53.09961,-0.27833343,-72.15039,-0.3781923,
2,21-07-16,1,-39.44922,-0.21070486,-58.152344,-0.31060138,
2,29-08-16,1,-49.0,-0.25543517,-68.1582,-0.35530618,
2,21-09-16,1,-50.75,-0.25470388,-70.65039,-0.35457987,
2,17-10-16,1,-73.19922,-0.38143963,-92.353516,-0.48125228,
2,20-10-16,1,-52.65039,-0.2677971,-72.28516,-0.36766598,
2,26-10-16,1,-78.59961,-0.39908406,-98.25586,-0.49888733,
2,21-11-16,1,-64.25,-0.34207737,-83.0,-0.44190538,
2,18-01-17,1,-42.601562,-0.22159402,-61.80664,-0.32149014,
2,23-03-20,2,-1140.8496,-6.0616913,-1177.6211,-6.2586694,
2,08-07-21,1,-178.25,-0.5025005,-213.63281,-0.60224736,
2,14-07-21,1,-118.30078,-0.33214977,-153.85938,-0.43198663,
2,16-07-21,1,-122.60156,-0.3414486,-158.44531,-0.4412744,
2,09-08-21,1,-101.0,-0.2799948,-137.01953,-0.37984905,
2,10-08-21,1,-76.55078,-0.2110788,-112.77734,-0.3109688,
2,13-08-21,1,-92.546875,-0.25624436,-128.61719,-0.3561161,
2,23-08-21,1,-75.25,-0.21520382,-110.17969,-0.31509754,
2,01-09-21,1,-121.94922,-0.33014214,-158.82812,-0.42998105,
2,14-09-21,1,-76.40234,-0.2079946,-113.09766,-0.3078924,
2,21-09-21,1,-221.05078,-0.59942967,-257.8164,-0.69912803,
2,28-09-21,1,-94.0,-0.25002992,-131.54688,-0.3499006,
2,28-10-21,1,-116.80078,-0.29269636,-156.64844,-0.3925524,
2,30-11-21,1,-220.85156,-0.616537,-256.5625,-0.7162289,
2,02-08-22,1,-261.64844,-0.686058,-299.65625,-0.7857167,
2,04-08-22,2,-335.60156,-0.88765687,-411.2539,-1.0872297,
2,18-08-22,1,-120.69922,-0.30575883,-160.11328,-0.4056037,
2,25-08-22,1,-105.80078,-0.26891723,-145.08984,-0.3687795,
2,16-09-22,1,-136.90234,-0.33389145,-177.83594,-0.43372452,
2,21-12-22,1,-353.64844,-0.82352126,-396.41406,-0.9231072,
2,23-12-22,1,-224.44922,-0.5308927,-266.6172,-0.6306332,
2,03-01-23,1,-92.80078,-0.21361849,-136.19922,-0.3135175,
2,16-01-23,1,-93.5,-0.2206685,-135.82812,-0.3205667,
2,23-01-23,1,-105.0,-0.24467826,-147.85938,-0.34455213,
2,06-04-23,1,-117.19922,-0.2843468,-158.35938,-0.3842089,
2,05-05-23,1,-186.75,-0.4336357,-229.72266,-0.5334187,
2,11-05-23,1,-102.10156,-0.23428078,-145.6289,-0.334158,
2,17-05-23,1,-132.5,-0.30241442,-176.2461,-0.40225932,
2,22-05-23,1,-94.40234,-0.21476138,-138.3086,-0.31464627,
2,15-06-23,1,-105.84766,-0.24128452,-149.66406,-0.341166,
2,16-06-23,1,-124.69922,-0.28307566,-168.6914,-0.38294092,
2,23-10-23,1,-87.89844,-0.20098445,-131.58984,-0.30088717,
2,13-11-23,1,-88.25,-0.20142631,-132.01953,-0.30132812,
2,17-11-23,1,-159.89844,-0.36434123,-203.70703,-0.46416256,
2,21-11-23,1,-115.94922,-0.26494774,-159.65625,-0.36481977,
2,02-01-24,2,9492.805,22.474218,9402.129,22.262978,
3,13-01-15,1,-100.45117,-0.5318915,-119.28711,-0.6316283,
3,12-03-15,1,-60.15039,-0.3129451,-79.3418,-0.41279238,
3,13-03-15,1,-109.80078,-0.58064,-128.65625,-0.68035007,
3,17-03-15,1,-118.59961,-0.6234587,-137.5625,-0.72314346,
3,18-03-15,1,-77.34961,-0.40313867,-96.49805,-0.50293845,
3,19-03-15,1,-59.80078,-0.3094838,-79.09375,-0.40932968,
3,16-04-15,1,-82.39844,-0.44191656,-101.00195,-0.54169035,
3,12-05-15,1,-258.55078,-1.4277829,-276.53125,-1.5270755,
3,22-05-15,1,-72.30078,-0.3884998,-90.875,-0.48830616,
3,02-06-15,1,-94.44922,-0.5124198,-112.833984,-0.61216354,
3,10-07-15,1,-65.69922,-0.3529493,-84.2793,-0.45276523,
3,20-07-15,1,-65.70117,-0.34702757,-84.60156,-0.4468577,
3,29-07-15,1,-82.19922,-0.4471906,-100.541016,-0.546976,
3,07-08-15,1,-85.90039,-0.45122626,-104.89453,-0.5510006,
3,11-08-15,1,-56.25,-0.30174527,-74.86328,-0.40159366,
3,20-08-15,1,-77.84961,-0.42182454,-96.26758,-0.5216214,
3,15-09-15,1,-68.5,-0.40689766,-85.30078,-0.5066962,
3,28-09-15,1,-109.0,-0.62754035,-126.31641,-0.7272353,
3,29-09-15,1,-83.5,-0.49400097,-100.36133,-0.5937556,
3,20-10-15,1,-54.40039,-0.3048341,-72.2207,-0.4046907,
3,20-11-15,1,-56.44922,-0.32721338,-73.671875,-0.42704618,
3,15-12-15,1,-72.09961,-0.43914708,-88.481445,-0.53892624,
3,21-12-15,1,-52.29883,-0.31117383,-69.08008,-0.4110209,
3,16-06-16,1,-113.90039,-0.6438142,-131.53516,-0.74349356,
3,08-07-16,1,-167.45117,-0.9248048,-185.47266,-1.0243344,
3,18-07-16,1,-106.94922,-0.5605981,-125.97461,-0.6603239,
3,21-07-16,1,-57.44922,-0.30684587,-76.14258,-0.4066902,
3,29-08-16,1,-62.398438,-0.32528073,-81.55078,-0.4251212,
3,21-09-16,1,-89.59961,-0.44968212,-109.48047,-0.54946005,
3,17-10-16,1,-73.19922,-0.38143963,-92.353516,-0.48125228,
3,20-10-16,1,-66.85156,-0.34002894,-86.478516,-0.43985808,
3,26-10-16,1,-78.59961,-0.39908406,-98.25586,-0.49888733,
3,21-11-16,1,-64.25,-0.34207737,-83.0,-0.44190538,
3,18-01-17,1,-58.75,-0.30559087,-77.947266,-0.40544635,
3,23-03-20,2,-1140.8496,-6.0616913,-1177.6211,-6.2586694,
3,08-07-21,1,-178.25,-0.5025005,-213.63281,-0.60224736,
3,14-07-21,1,-118.30078,-0.33214977,-153.85938,-0.43198663,
3,16-07-21,1,-122.60156,-0.3414486,-158.44531,-0.4412744,
3,09-08-21,1,-143.65234,-0.3982367,-179.65234,-0.4980368,
3,10-08-21,1,-179.44922,-0.4948078,-215.625,-0.59455776,
3,13-08-21,1,-117.296875,-0.32477233,-153.35547,-0.42461157,
3,30-11-21,1,-220.85156,-0.616537,-256.5625,-0.7162289,
3,20-12-21,1,-332.65234,-0.9513362,-367.45312,-1.0508614,
3,02-08-22,1,-261.64844,-0.686058,-299.65625,-0.7857167,
3,04-08-22,2,-397.55078,-1.0501282,-473.17188,-1.2496192,
3,18-08-22,1,-120.69922,-0.30575883,-160.11328,-0.4056037,
3,25-08-22,1,-236.5,-0.60111964,-275.72656,-0.700823,
3,16-09-22,1,-136.90234,-0.33389145,-177.83594,-0.43372452,
3,21-12-22,1,-353.64844,-0.82352126,-396.41406,-0.9231072,
3,23-12-22,1,-224.44922,-0.5308927,-266.6172,-0.6306332,
3,03-01-23,1,-167.35156,-0.3852272,-210.71094,-0.48503634,
3,16-01-23,1,-142.44922,-0.3361931,-184.75,-0.43602678,
3,23-01-23,1,-157.69922,-0.36748162,-200.53516,-0.4673009,
3,06-04-23,1,-224.0,-0.5434651,-265.10547,-0.64319444,
3,05-05-23,1,-186.75,-0.4336357,-229.72266,-0.5334187,
3,12-05-23,1,-198.45312,-0.4553677,-241.9336,-0.55513734,
3,17-05-23,1,-132.5,-0.30241442,-176.2461,-0.40225932,
3,22-05-23,1,-138.0,-0.31394422,-181.88672,-0.41378465,
3,15-06-23,1,-145.14844,-0.33087245,-188.94531,-0.4307094,
3,16-06-23,1,-144.90234,-0.32893813,-188.88281,-0.42877677,
3,23-10-23,1,-132.55078,-0.3030844,-176.21875,-0.40293354,
3,17-11-23,1,-139.19922,-0.31771538,-182.9414,-0.4175548,
3,22-11-23,1,-167.15234,-0.38194856,-210.83203,-0.4817581,
3,02-01-24,2,9492.805,22.474218,9402.129,22.262978,
4,13-01-15,1,-100.45117,-0.5318915,-119.28711,-0.6316283,
4,12-03-15,1,-89.30078,-0.46460614,-108.478516,-0.5643823,
4,13-03-15,1,-109.80078,-0.58064,-128.65625,-0.68035007,
4,17-03-15,1,-118.59961,-0.6234587,-137.5625,-0.72314346,
4,18-03-15,1,-77.34961,-0.40313867,-96.49805,-0.50293845,
4,19-03-15,1,-86.15039,-0.44584954,-105.43164,-0.54563475,
4,16-04-15,1,-82.39844,-0.44191656,-101.00195,-0.54169035,
4,12-05-15,1,-258.55078,-1.4277829,-276.53125,-1.5270755,
4,22-05-15,1,-83.09961,-0.44652602,-101.66797,-0.54630095,
4,02-06-15,1,-94.44922,-0.5124198,-112.833984,-0.61216354,
4,21-07-15,1,-88.70117,-0.46851146,-107.58984,-0.56827974,
4,27-07-15,1,-223.19922,-1.1990707,-241.70117,-1.2984669,
4,29-07-15,1,-82.19922,-0.4471906,-100.541016,-0.546976,
4,07-08-15,1,-85.90039,-0.45122626,-104.89453,-0.5510006,
4,12-08-15,1,-246.85156,-1.3242009,-265.36914,-1.4235358,
4,20-08-15,1,-77.84961,-0.42182454,-96.26758,-0.5216214,
4,15-09-15,1,-68.5,-0.40689766,-85.30078,-0.5066962,
4,28-09-15,1,-109.0,-0.62754035,-126.31641,-0.7272353,
4,29-09-15,1,-83.5,-0.49400097,-100.36133,-0.5937556,
4,21-10-15,1,-106.40039,-0.5962175,-124.19336,-0.69592094,
4,20-11-15,1,-127.65039,-0.7399379,-144.83789,-0.8395669,
4,15-12-15,1,-72.09961,-0.43914708,-88.481445,-0.53892624,
4,21-12-15,1,-71.34961,-0.42452446,-88.12109,-0.52431345,
4,16-06-16,1,-113.90039,-0.6438142,-131.53516,-0.74349356,
4,08-07-16,1,-167.45117,-0.9248048,-185.47266,-1.0243344,
4,18-07-16,1,-106.94922,-0.5605981,-125.97461,-0.6603239,
4,22-07-16,1,-147.30078,-0.7867581,-165.94922,-0.8863625,
