S.no,Date,TotalTrades,Profit,Profit%,Cost,Cost%,
1,12-12-18,2,229.25195,0.87938565,176.48378,0.6789408,
1,15-03-19,2,69.50195,0.23662008,10.728302,0.036502466,
1,29-07-22,1,-46.347656,-0.12347867,-83.859436,-0.22341679,
1,11-07-17,1,-8.1484375,-0.034368254,-31.853563,-0.13435087,
1,11-07-16,2,321.10156,1.7837883,284.565,1.5828934,
1,12-12-19,2,192.09961,0.6158786,129.3529,0.41557884,
1,21-04-23,1,-27.851562,-0.06608376,-69.98349,-0.16605282,
1,02-03-17,3,-52.597656,-0.25202066,-115.17676,-0.5518993,
1,21-04-17,1,-78.30078,-0.3639307,-99.77693,-0.46375063,
1,30-08-17,2,-3.8496094,-0.015794411,-52.54784,-0.21578258,
1,30-08-16,4,384.29688,2.004253,306.72122,1.6032583,
1,24-07-15,1,-49.25,-0.26225683,-68.00468,-0.362132,
1,22-08-22,1,2.3476562,0.0061177425,-36.028072,-0.093883425,
1,24-07-18,2,39.55078,0.14672552,-14.399448,-0.05335136,
1,24-07-19,4,-28.699219,-0.096159115,-145.03308,-0.49611816,
1,24-07-17,4,-47.30078,-0.19448975,-144.78113,-0.594393,
1,31-01-20,4,-159.44922,-0.51498556,-282.9479,-0.91473234,
1,16-07-21,1,-28.703125,-0.08023549,-64.46237,-0.18019137,
1,16-07-15,3,-73.60156,-0.3851071,-130.93011,-0.6849123,
1,06-11-17,2,8.248047,0.03221463,-42.98023,-0.16780242,
1,31-01-17,1,-32.54883,-0.16616762,-52.120506,-0.26608753,
1,16-07-19,2,-28.40039,-0.09321707,-89.42304,-0.29317304,
1,28-03-19,4,-147.45117,-0.48650134,-268.35275,-0.88626707,
1,06-11-15,1,-39.15039,-0.22880046,-56.241966,-0.32867593,
1,28-03-17,3,-4.5507812,-0.021253593,-68.1936,-0.32124183,
1,16-07-18,1,-25.648438,-0.09572474,-52.429565,-0.19567734,
1,31-01-19,2,0.5996094,0.0016502813,-53.67459,-0.19834775,
1,30-08-22,1,399.90234,1.0430381,361.36224,0.94250906,
1,24-07-23,4,-34.101562,-0.073918454,-218.23232,-0.47388595,
1,30-08-21,3,420.60156,1.1652265,312.16245,0.8646591,
1,13-04-23,1,-38.101562,-0.09138819,-79.77451,-0.19134928,
1,04-02-15,2,-25.800781,-0.13291642,-64.35628,-0.33285585,
1,22-08-17,2,-45.101562,-0.18752275,-93.14351,-0.3874251,
1,22-08-16,2,-69.64844,-0.35893887,-108.38341,-0.5587663,
1,04-02-19,1,-43.69922,-0.16196384,-70.65822,-0.26188278,
1,13-04-17,1,-24.451172,-0.112507634,-46.17185,-0.21245152,
1,13-04-18,1,-45.95117,-0.18094003,-71.324,-0.28085044,
1,23-01-23,1,-39.601562,-0.09238972,-82.445366,-0.19234341,
1,08-09-21,3,-143.30469,-0.39051718,-253.34683,-0.6903348,
1,29-07-15,3,-73.75391,-0.40262347,-128.67203,-0.70241064,
1,12-12-22,1,-31.199219,-0.07131894,-74.92967,-0.17128332,
1,27-08-21,1,-52.101562,-0.14651527,-87.63602,-0.246444,
1,27-11-19,1,-46.15039,-0.14501871,-77.951065,-0.24494652,
1,27-11-18,2,202.25,0.77544385,149.67693,0.5750666,
1,11-07-23,2,-0.25,-5.04151E-4,-90.416725,-0.200498,
1,27-11-15,3,-86.59961,-0.49954814,-138.5321,-0.7993159,
1,27-11-17,4,-38.65039,-0.15006657,-141.61052,-0.5500022,
1,29-07-19,5,187.75195,0.64332086,41.368576,0.14299445,
1,11-07-19,3,-39.853516,-0.12959373,-131.87585,-0.42952618,
1,11-07-18,1,-27.201172,-0.10098801,-54.12262,-0.20093185,
1,02-03-23,4,-210.15234,-0.51716185,-372.61447,-0.91690993,
1,18-04-23,3,-157.44922,-0.37123266,-284.64325,-0.6710409,
1,27-08-15,2,-12.0,-0.07016845,-46.292,-0.2701276,
1,08-09-17,2,-26.75,-0.10987664,-75.43408,-0.30982774,
1,17-02-17,2,23.501953,0.11246392,-17.79565,-0.08759828,
1,08-09-15,5,221.9502,1.3646331,141.09653,0.8639457,
1,27-08-18,4,21.298828,0.07575601,-91.75683,-0.3242854,
1,08-10-21,2,-158.64844,-0.41901708,-234.28966,-0.61881626,
1,13-06-23,1,-8.8515625,-0.020097751,-52.88969,-0.12008096,
1,01-08-23,1,-23.902344,-0.0524559,-69.45695,-0.15242986,
1,01-08-22,5,-35.953125,-0.094737,-224.9895,-0.59466577,
1,31-03-15,2,-87.80078,-0.47623223,-124.627686,-0.6759902,
1,10-01-19,3,-75.89844,-0.27447724,-158.7789,-0.57434857,
1,10-01-17,1,-9.25,-0.050430845,-27.587324,-0.15040872,
1,10-01-18,1,-22.34961,-0.08727878,-47.945587,-0.18723407,
1,26-06-15,1,-17.050781,-0.09282468,-35.411057,-0.19277337,
1,01-08-18,4,-43.85547,-0.15766034,-154.8672,-0.5575674,
1,18-04-17,2,-28.84961,-0.13148963,-72.71634,-0.33142602,
1,10-01-23,3,-222.94922,-0.52795875,-349.45416,-0.8276831,
1,18-04-19,2,-83.14844,-0.27340096,-143.92682,-0.47326088,
1,18-04-18,1,20.0,0.07899752,-5.3272514,-0.021037718,
1,26-06-18,1,-27.75,-0.104086965,-54.396526,-0.20403476,
1,20-09-23,2,-75.90234,-0.16716608,-166.67145,-0.36708343,
1,20-09-21,4,-226.09766,-0.5997038,-376.80365,-0.9993964,
1,07-05-19,1,-19.25,-0.064773045,-48.959526,-0.16473885,
1,13-06-17,1,-7.9003906,-0.033488434,-31.48784,-0.13346528,
1,28-01-20,1,22.699219,0.07345134,-8.215883,-0.02658203,
1,08-09-23,4,-236.75,-0.52559316,-416.8759,-0.92531973,
1,07-05-18,2,25.548828,0.09913324,-25.974949,-0.1009226,
1,06-01-16,2,32.5,0.19679481,-0.5985527,-0.0032982007,
1,08-10-15,4,-119.197266,-0.680773,-189.15497,-1.0804288,
1,12-10-21,2,-126.14844,-0.32894832,-202.77505,-0.5287796,
1,19-08-22,2,-177.64844,-0.45198965,-256.30792,-0.6517554,
