S.no,Date,TotalTrades,Profit,Profit%,Cost,Cost%,
3,23-02-21,1,225.54688,0.6353138,154.76912,0.43595028,
3,18-08-20,1,-235.80078,-1.0924821,-279.20447,-1.2935773,
3,04-10-18,2,-422.6504,-1.7178686,-521.49457,-2.119577,
3,13-11-18,2,-504.95117,-1.9808862,-607.44385,-2.3828654,
3,24-01-22,3,162.05078,0.4338038,-58.8582,-0.16576558,
3,30-11-21,2,-888.5039,-2.4623294,-1033.7518,-2.8647976,
3,23-11-16,1,-166.94922,-0.90507495,-204.00797,-1.1059792,
3,31-07-19,1,-304.5,-1.0633004,-362.079,-1.2643607,
3,12-03-20,1,-268.1504,-1.1222335,-316.20724,-1.3233548,
3,01-04-20,1,-146.45117,-0.80580807,-182.94653,-1.0066072,
3,19-02-18,5,810.7012,3.195342,559.75665,2.198542,
3,11-04-16,3,-75.45117,-0.4859689,-169.31332,-1.0864558,
3,07-10-19,3,-878.59766,-3.1619577,-1046.2606,-3.7651165,
3,25-03-21,1,746.6992,2.2421548,680.8404,2.0443895,
3,01-10-18,1,-208.65039,-0.8407017,-258.49625,-1.0415418,
3,01-10-19,2,890.2988,3.062829,775.3958,2.6658938,
3,07-06-22,1,360.5,1.0194919,290.139,0.82051605,
3,30-11-16,1,-185.80078,-1.0194495,-222.43777,-1.220478,
3,23-02-18,2,-460.9004,-1.846627,-561.2025,-2.2484763,
3,03-02-16,1,354.1504,2.3342366,324.16055,2.136575,
3,27-10-20,2,-548.5,-2.2780762,-645.4413,-2.6803627,
3,03-05-21,2,-576.3008,-1.794554,-705.3096,-2.1963453,
3,17-12-21,1,488.34766,1.3411558,416.0111,1.1424879,
3,12-06-20,1,-187.65039,-0.9366714,-227.90555,-1.1376017,
3,19-04-22,2,404.45312,1.0906023,258.05637,0.6916989,
3,15-03-23,1,-373.5,-0.95073974,-452.4439,-1.151694,
3,05-05-22,1,-159.19922,-0.4463037,-230.69963,-0.6467489,
3,15-03-21,1,-335.44922,-0.970265,-404.93057,-1.171244,
3,09-05-16,1,-301.0996,-1.8515078,-333.9255,-2.053367,
3,04-10-21,1,-565.59766,-1.525003,-640.33984,-1.7265279,
3,05-08-19,2,487.9004,1.7033172,376.969,1.3050123,
3,26-05-20,1,-325.6504,-1.890442,-360.42834,-2.0923402,
3,14-12-21,1,-313.80078,-0.85692966,-387.353,-1.0577934,
3,07-03-22,3,394.7539,1.1854331,198.11684,0.5866077,
3,30-03-16,3,-469.6006,-3.0000305,-563.9967,-3.6030269,
3,08-03-18,1,-213.09961,-0.8812961,-261.67322,-1.0821719,
3,16-10-20,1,-354.35156,-1.5403609,-400.7148,-1.7419014,
3,02-08-19,1,-329.1504,-1.1756443,-385.47443,-1.3768204,
3,07-06-19,1,258.79883,0.8282305,196.56323,0.6290564,
3,18-02-20,1,-322.29883,-1.0639418,-383.20694,-1.2650061,
3,22-05-20,1,-168.70117,-0.9843863,-203.14528,-1.1853778,
3,02-11-20,1,-653.7988,-2.7503588,-701.9954,-2.9531121,
3,13-04-21,1,-489.04883,-1.5909562,-551.0165,-1.7925508,
3,19-01-21,3,-805.1992,-2.5213947,-997.6149,-3.123917,
3,09-05-22,2,546.65234,1.5805967,408.97467,1.1821939,
3,03-08-20,2,887.5,4.1081676,801.9753,3.7122724,
3,06-04-16,2,490.80078,3.088869,427.80728,2.6919541,
3,15-02-22,4,434.15625,1.1542203,137.0914,0.35537052,
3,05-05-16,2,228.50098,1.3903189,162.99118,0.9917094,
3,21-02-23,1,166.60156,0.40609768,84.71816,0.20650518,
3,22-10-18,2,-683.0508,-2.7354603,-783.6337,-3.1381998,
3,20-03-18,2,311.24805,1.2764195,214.02759,0.87770283,
3,25-09-18,2,-279.29883,-1.115295,-379.88312,-1.516409,
3,16-05-22,1,-384.60156,-1.1543374,-451.62207,-1.3554889,
3,11-02-16,1,343.1504,2.3448122,314.22464,2.147157,
3,26-08-19,1,-252.79883,-0.9344646,-307.15723,-1.1353954,
3,07-04-21,1,-319.09766,-0.9784429,-384.64236,-1.1794281,
3,14-06-22,2,-650.40625,-1.9555328,-784.10425,-2.35748,
3,14-06-21,1,-324.15234,-0.9357017,-393.7619,-1.1366482,
3,15-11-19,1,-504.4004,-1.6528451,-565.93896,-1.8544995,
3,29-10-18,2,-72.14844,-0.3010524,-170.6637,-0.70136285,
3,18-07-22,4,-1189.9492,-3.423025,-1469.2539,-4.2264705,
3,05-02-16,2,-403.8506,-2.71015,-463.87054,-3.112851,
3,03-03-20,1,-294.8496,-1.019768,-352.97125,-1.2207927,
3,22-02-21,2,1152.6016,3.2124493,1010.3306,2.8156548,
3,07-12-21,1,-692.0,-1.9346145,-764.2308,-2.1365483,
3,22-02-23,3,2503.0508,6.126714,2260.4272,5.532838,
3,12-04-22,1,-367.94922,-0.9843583,-443.0764,-1.185337,
3,30-09-19,1,-268.8496,-0.9252601,-327.23175,-1.1261877,
3,16-05-16,2,-309.75,-1.8768601,-376.07825,-2.278748,
3,15-11-21,1,-392.5,-1.019756,-469.8717,-1.220774,
3,29-10-21,3,2079.5508,5.200273,1842.3027,4.6054583,
3,26-03-18,1,352.0996,1.4611762,304.25772,1.2626377,
3,29-07-21,2,-730.2461,-2.1279292,-868.25244,-2.5300503,
3,08-06-22,3,-1144.8047,-3.2760386,-1355.6584,-3.8793082,
3,19-03-20,1,-1055.2012,-5.473504,-1094.8131,-5.678984,
3,13-06-22,2,2286.9531,6.6355543,2151.3826,6.242191,
3,09-03-20,1,624.4512,2.3406706,571.719,2.1430104,
3,17-11-21,2,459.1953,1.1878664,305.04172,0.78906775,
3,19-03-21,2,-77.296875,-0.23542035,-212.54218,-0.6356465,
3,19-06-19,1,-306.8496,-1.0117266,-367.81506,-1.2127427,
3,06-03-20,1,-277.30078,-1.0064744,-332.6815,-1.2074744,
3,30-01-23,1,261.85156,0.6479229,181.2854,0.44857016,
3,27-02-23,1,-341.5,-0.8534438,-421.8702,-1.0542995,
3,15-07-20,1,-487.79883,-2.2844617,-530.99243,-2.486745,
3,23-09-20,1,-176.54883,-0.8371785,-218.90248,-1.0380151,
3,05-07-21,2,-636.10156,-1.829747,-775.80945,-2.2315855,
3,10-09-20,3,-1178.998,-5.3120413,-1313.4263,-5.9173603,
3,28-01-21,1,217.44922,0.71858263,157.14496,0.5192998,
