S.no,Date,TotalTrades,Profit,Profit%,Cost,Cost%,
1,12-12-16,8,-828.0508,-4.464499,-1419.385,-7.6555586,
1,23-02-21,5,605.7461,1.7243664,-97.54016,-0.27909014,
1,04-01-21,5,109.35156,0.3531626,-513.193,-1.6475388,
1,20-11-20,8,1916.0996,6.6706734,993.7081,3.4573412,
1,29-07-22,1,145.44922,0.39057517,-3.8006897,-0.010206248,
1,27-09-22,5,239.69531,0.62826455,-529.23975,-1.3729985,
1,02-03-21,3,269.7422,0.7691659,-151.77216,-0.43236518,
1,21-04-20,7,171.39844,0.9235245,-372.67157,-1.8783444,
1,09-02-16,1,38.0,0.25593534,-21.466003,-0.1445819,
1,09-02-18,2,1.9492188,0.008638665,-201.8867,-0.79137874,
1,30-08-19,10,812.04297,2.9881387,-278.30725,-1.0178359,
1,01-10-18,5,939.55273,3.7790334,440.4142,1.7714826,
1,08-08-19,2,110.44922,0.40030813,-110.51529,-0.4005008,
1,01-10-19,4,-370.09766,-1.2792692,-830.0533,-2.8767157,
1,27-09-18,13,-939.53906,-3.7360795,-2244.0068,-8.928565,
1,23-02-16,15,-1088.3525,-7.7055874,-1930.7158,-13.690198,
1,18-05-20,3,-648.75195,-3.6199934,-861.15765,-4.8127785,
1,27-09-19,3,572.2012,1.9187146,213.03433,0.7148734,
1,18-05-22,8,-371.2422,-1.0831351,-1466.4048,-4.280974,
1,17-12-21,4,-635.9492,-1.7669113,-1208.1484,-3.3633883,
1,19-10-22,4,386.15625,0.9597611,-258.3891,-0.6421526,
1,09-02-21,1,441.5,1.2351327,297.6364,0.83265233,
1,19-10-21,3,606.8008,1.5345769,131.06836,0.3314929,
1,15-03-23,12,-2524.6484,-6.4288187,-4403.957,-11.215932,
1,05-05-22,6,-740.0469,-2.0900414,-1587.2476,-4.4858794,
1,15-03-21,5,1522.4023,4.364288,821.3059,2.3555448,
1,15-03-22,15,-1260.9609,-3.5588841,-3363.558,-9.55178,
1,16-07-20,1,216.80078,1.0273288,131.95377,0.62527096,
1,26-05-20,6,-380.25,-2.1773255,-797.8253,-4.572953,
1,06-11-18,5,-169.39844,-0.66128474,-681.2253,-2.6599522,
1,07-03-22,6,94.646484,0.2851065,-690.4461,-2.1154556,
1,28-03-18,4,1.3027344,0.0055129454,-387.09546,-1.5945071,
1,28-03-16,4,306.50098,1.9692571,56.702744,0.3653146,
1,25-11-20,8,-985.2012,-3.3543518,-1921.5259,-6.547621,
1,18-05-16,5,176.70312,1.0637512,-155.96509,-0.9383631,
1,22-08-19,17,-3283.6992,-11.973063,-5140.8433,-18.74914,
1,25-11-21,3,208.25,0.55948615,-239.0169,-0.64162946,
1,01-10-21,5,435.80078,1.1753519,-306.78687,-0.82701534,
1,14-09-20,5,-629.6543,-2.8200192,-1073.3092,-4.814377,
1,23-02-23,1,207.19922,0.52121913,47.77362,0.120176286,
1,24-07-20,6,-522.9512,-2.3010645,-1066.2909,-4.6964636,
1,13-04-22,1,-155.5,-0.41353026,-305.6012,-0.8127042,
1,13-04-20,7,409.6504,2.1136343,-134.3424,-0.69062024,
1,04-02-16,5,469.29883,3.1690876,172.13141,1.1627524,
1,03-08-22,4,701.4453,1.8564655,95.72217,0.2527538,
1,03-08-20,11,-692.69727,-3.256694,-1622.8904,-7.650229,
1,15-02-22,3,1155.5938,3.1470916,712.64496,1.9407963,
1,05-05-16,1,49.75,0.30588278,-15.4071045,-0.094723746,
1,22-10-19,3,-18.046875,-0.061364647,-370.6658,-1.2612427,
1,22-10-18,3,-187.59961,-0.74564266,-489.04144,-1.9441576,
1,28-02-18,3,102.052734,0.40740046,-198.78397,-0.79341125,
1,07-04-22,2,157.85156,0.42086998,-142.55676,-0.37996632,
1,16-08-19,1,286.8496,1.0321004,175.1047,0.6300319,
1,05-05-20,6,33.19922,0.1526599,-436.70422,-2.2476497,
1,07-04-21,1,336.8496,1.0406903,206.7043,0.6386053,
1,22-10-20,2,218.59961,0.8966276,23.090607,0.09483921,
1,24-06-20,19,-2112.9004,-9.740209,-3767.7656,-17.32071,
1,19-10-18,3,217.04688,0.8663559,-84.07724,-0.33538043,
1,04-02-22,15,-765.0,-1.9633465,-3089.4597,-7.9593935,
1,19-09-19,5,-750.05273,-2.7868652,-1286.3179,-4.7812862,
1,08-09-20,2,-149.80078,-0.6569733,-331.91437,-1.4556494,
1,04-02-21,5,1851.8984,5.3919573,1161.2836,3.3811657,
1,27-08-21,4,641.89844,1.8109767,73.48706,0.20736925,
1,10-02-16,2,-103.299805,-0.7054906,-220.23041,-1.5040734,
1,09-03-16,2,316.7002,2.1078315,195.8696,1.3036191,
1,01-09-22,6,-517.2539,-1.315188,-1456.7642,-3.7125716,
1,21-05-20,2,85.69922,0.47708094,-57.38759,-0.3238684,
1,30-09-19,7,-103.04883,-0.3421758,-918.0429,-3.1414714,
1,21-05-19,15,-1437.0449,-4.719642,-3258.0842,-10.7101755,
1,10-02-20,2,126.34961,0.4077891,-121.7561,-0.39301944,
1,10-02-21,13,402.4453,1.1594464,-1457.6017,-4.0428834,
1,29-07-20,5,-354.74805,-1.5996989,-795.7511,-3.5964856,
1,28-02-22,3,1109.2969,3.1000028,677.67883,1.893816,
1,07-04-16,3,510.29883,3.2893357,323.109,2.0827465,
1,06-10-21,7,-608.91406,-1.6164889,-1660.7241,-4.413273,
1,17-02-16,5,446.49902,3.1996355,166.6278,1.1932299,
1,08-10-21,1,89.15234,0.23649468,-61.815567,-0.16398056,
1,03-06-22,5,64.30078,0.18432653,-642.32623,-1.8160255,
1,13-06-22,2,144.10156,0.43189198,-123.120636,-0.36897317,
1,09-03-21,5,1327.3008,3.7272184,612.324,1.7197539,
1,09-03-20,2,-185.19922,-0.687394,-395.9862,-1.4860197,
1,03-06-20,2,-237.0,-1.1265584,-404.8252,-1.9243007,
1,04-11-20,13,-145.94922,-0.5528358,-1465.7717,-5.751714,
1,26-06-20,8,679.91016,3.1800032,-5.633606,-0.026371181,
1,08-10-20,1,49.75,0.21494506,-42.931305,-0.18548632,
1,17-02-22,7,-60.054688,-0.14724952,-1114.944,-2.9469585,
1,01-08-19,14,-2149.6523,-7.5108576,-3741.0479,-13.095833,
1,17-02-23,15,-736.8633,-1.7436771,-3205.879,-7.7402387,
