S.no,Date,TotalTrades,Profit,Profit%,Cost,Cost%,
2,21-10-20,1,187.0,0.7617247,88.427795,0.36020103,
2,04-01-22,1,-138.45312,-0.37762842,-284.83163,-0.7768743,
2,16-02-18,1,-77.09961,-0.3015992,-179.19981,-0.7009937,
2,20-11-20,1,-83.05078,-0.28714144,-198.57788,-0.6865612,
2,22-03-22,1,442.5,1.2366778,298.4896,0.83420074,
2,27-09-22,1,-61.30078,-0.15772909,-216.6366,-0.557414,
2,02-03-21,1,-41.0,-0.11543232,-182.9926,-0.51521134,
2,29-02-16,1,-33.649414,-0.24224159,-89.14552,-0.6417571,
2,02-03-22,1,280.94922,0.79765946,139.50052,0.39606267,
2,21-04-22,1,-97.25,-0.2658222,-243.3939,-0.66529226,
2,31-07-19,1,-73.30078,-0.25360826,-188.76678,-0.6531038,
2,02-03-20,1,-174.95117,-0.5894651,-293.3199,-0.9882877,
2,01-04-20,2,-120.59961,-0.65852934,-266.8606,-1.4572163,
2,21-04-20,1,-59.90039,-0.3074645,-137.7088,-0.7068505,
2,01-04-21,2,-109.10547,-0.3251584,-378.06888,-1.1245124,
2,02-03-16,1,115.94922,0.7788936,56.171715,0.37733686,
2,21-04-16,1,40.75,0.24430163,-26.0523,-0.15618958,
2,30-08-19,1,-36.09961,-0.13171218,-145.65921,-0.53145224,
2,07-10-19,1,32.148438,0.114801295,-79.93007,-0.28543395,
2,20-05-22,1,213.15234,0.63030285,77.45624,0.22903301,
2,08-08-19,1,261.30078,0.9361509,149.12918,0.5342776,
2,01-10-19,1,-182.20117,-0.61941266,-299.49738,-1.0181761,
2,20-05-20,3,-183.04883,-1.0354894,-394.61993,-2.233414,
2,14-10-19,2,-182.99805,-0.6469729,-408.93164,-1.445672,
2,18-05-21,1,-114.10156,-0.33493182,-250.14177,-0.7342586,
2,18-05-20,1,-54.84961,-0.3083353,-125.895706,-0.707723,
2,27-10-20,2,-133.70117,-0.5478676,-329.23236,-1.346772,
2,19-04-21,2,7.0996094,0.021093309,-241.5294,-0.77894866,
2,12-06-20,3,50.847656,0.25713706,-192.69547,-0.9433766,
2,07-10-21,1,-67.25,-0.17771377,-218.48251,-0.57736325,
2,09-02-21,1,244.35156,0.677875,99.676056,0.27651846,
2,19-10-20,1,260.95117,1.0954393,165.14287,0.69324726,
2,15-03-23,1,-150.44922,-0.37713,-309.72113,-0.77636975,
2,05-05-22,1,-145.64844,-0.40772018,-288.24774,-0.80690014,
2,13-11-20,2,-118.90039,-0.42110354,-344.9356,-1.2202612,
2,26-05-22,2,31.601562,0.090477884,-246.10086,-0.7097051,
2,16-07-20,1,-66.65039,-0.31040606,-152.40509,-0.7097816,
2,06-05-20,1,-74.29883,-0.37555578,-153.28503,-0.77480537,
2,26-05-20,1,-72.09961,-0.4089424,-142.47841,-0.8081251,
2,31-01-22,1,-133.89844,-0.35064384,-286.37646,-0.7499388,
2,17-01-22,1,-147.5,-0.38229766,-301.535,-0.7815335,
2,06-11-18,1,-61.25,-0.23695813,-164.5213,-0.6364849,
2,30-03-16,1,-0.35058594,-0.0022174388,-63.591488,-0.40221497,
2,06-11-19,1,189.34961,0.62544054,67.87251,0.2241914,
2,05-11-20,1,-79.05078,-0.3013898,-183.80768,-0.7007831,
2,26-05-16,1,39.5,0.22806993,-29.856003,-0.17238316,
2,08-03-18,1,-73.70117,-0.30355433,-170.67139,-0.7029493,
2,10-08-20,1,89.69922,0.4096388,1.9312134,0.008812505,
2,25-11-20,1,56.398438,0.18762392,-63.95157,-0.21275002,
2,02-08-19,1,38.59961,0.13623841,-74.80719,-0.26403213,
2,30-08-22,1,80.80078,0.20897923,-74.018814,-0.19144055,
2,28-08-20,3,634.4492,2.661603,344.9163,1.4562865,
2,01-10-20,1,297.44922,1.3678185,209.86932,0.965082,
2,14-09-20,1,-86.75,-0.3819365,-177.42929,-0.7811658,
2,03-02-23,1,-4.953125,-0.012045361,-169.42563,-0.41202167,
2,21-10-22,1,239.25,0.5914008,76.952286,0.19022,
2,02-09-22,1,-150.0,-0.37894914,-308.0326,-0.7781977,
2,13-04-20,2,-70.50195,-0.35672656,-228.19977,-1.1560104,
2,14-03-23,1,-128.39844,-0.32503712,-286.15247,-0.7243868,
2,13-04-21,1,267.55078,0.850603,141.19867,0.4489035,
2,14-03-22,1,-149.30078,-0.42717782,-288.8042,-0.8263249,
2,17-07-20,1,189.40039,0.8670413,101.64379,0.4653016,
2,29-01-21,1,202.19922,0.65773165,78.82721,0.25641283,
2,15-02-21,1,87.94922,0.24036442,-58.58647,-0.16011484,
2,15-02-22,2,221.29688,0.5851139,-78.06091,-0.21605024,
2,05-05-16,1,-49.899414,-0.30493316,-115.25581,-0.70431757,
2,22-10-19,1,21.550781,0.07349697,-95.78033,-0.32665318,
2,11-02-20,1,118.69922,0.37893713,-6.835182,-0.021823147,
2,25-01-16,1,-48.5,-0.31016678,-110.950005,-0.70954764,
2,22-10-18,1,-95.34961,-0.3768834,-196.3569,-0.77613163,
2,24-12-20,1,218.55078,0.72571826,97.653275,0.32426372,
2,02-09-20,1,56.75,0.23853457,-38.5279,-0.16194016,
2,07-04-20,3,74.80078,0.39806184,-148.16284,-0.8027303,
2,30-03-21,1,169.64844,0.50380397,34.615128,0.10279086,
2,05-05-21,1,-103.84961,-0.31922638,-233.76852,-0.7185851,
2,05-05-20,2,-135.29883,-0.6762544,-295.05765,-1.4749067,
2,07-04-21,1,-118.09961,-0.36110842,-248.68242,-0.7603898,
2,30-03-22,1,253.80078,0.7028594,108.85419,0.30145726,
2,24-06-22,1,-59.648438,-0.17740026,-194.02374,-0.5770446,
2,24-06-20,2,-65.25,-0.29053962,-243.47292,-1.0899575,
2,26-11-20,1,60.84961,0.20777288,-56.418488,-0.1926409,
2,13-04-16,1,150.09961,0.9313181,85.3318,0.52945685,
2,08-03-22,2,-109.09961,-0.33359164,-370.07764,-1.1329321,
2,19-10-18,1,-76.79883,-0.30530304,-177.26505,-0.7046948,
2,08-03-21,2,113.0,0.3176803,-171.06601,-0.4829562,
2,27-08-20,1,0.55078125,0.0023350706,-93.79972,-0.39766586,
2,08-09-22,1,129.19922,0.32467335,-30.233597,-0.07596816,
2,04-02-20,2,595.00195,1.96506,350.52155,1.1611233,
2,03-03-20,1,-77.90039,-0.26738104,-194.28299,-0.666847,
2,04-02-21,2,232.44922,0.67806697,-46.769287,-0.12327868,
2,01-09-20,1,93.29883,0.39106217,-2.3189697,-0.009717406,
2,14-03-16,1,38.0,0.24791232,-23.388004,-0.15258789,
2,22-02-22,1,87.90234,0.23489389,-61.962067,-0.1655729,
2,21-05-21,1,366.94922,1.0892256,231.4593,0.6870404,
2,21-05-20,1,-55.70117,-0.30833238,-127.850975,-0.70771897,
