sno,TradeType(l/s),Positional,costPercent,startTime,cutOffTime,endTime,ATRFrom%,ATRTo%,VixFrom%,VixTo%,Period,noOfSD,MinBandRange(as % of SMA),MaxBandRange(as % of SMA),LookbackDuration,MinBandChange,MaxBandChange,MinBreakout,MaxBreakout,Exit at SMA,TargetBN%,TriggerBN%,FallbackBN%,TradeSLBN%,DaySLBN%,MaxOverlap,TradeGap
1,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,100,2,1,1000,11,-1000,1000,0,0.5,TRUE,2,0.5,0.4,0.8,1,15,5
2,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,105,2,1,1000,11,-1000,1000,0,0.5,TRUE,1,0.5,0.4,0.8,1,15,5
3,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,110,2,1,1000,11,-1000,1000,0,0.5,TRUE,2,0.5,0.4,0.8,1,15,5
4,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,115,2,1,1000,11,-1000,1000,0,0.5,TRUE,1,0.5,0.4,0.8,1,15,5
5,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,120,2,1,1000,11,-1000,1000,0,0.5,TRUE,1,0.5,0.4,0.8,1,15,5
6,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,125,2,1,1000,11,-1000,1000,0,0.5,TRUE,0.8,0.6,0.4,0.8,1,15,5
7,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,130,2,1,1000,11,-1000,1000,0,0.5,TRUE,0.6,0.6,0.4,0.8,1,15,5
8,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,135,2,1,1000,11,-1000,1000,0,0.5,TRUE,1,0.6,0.4,0.8,1,15,5
9,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,140,2,1,1000,11,-1000,1000,0,0.5,TRUE,1,0.6,0.4,0.8,1,15,5
10,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,145,2,1,1000,11,-1000,1000,0,0.5,TRUE,1,0.6,0.4,0.8,1,15,5
11,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,150,2,1,1000,11,-1000,1000,0,0.5,TRUE,1,0.6,0.4,0.8,1,15,5
12,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,155,2,1,1000,11,-1000,1000,0,0.5,TRUE,1,0.8,0.4,0.8,1,15,5
13,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,160,3,1,1000,11,-1000,1000,0,0.5,TRUE,1,0.8,0.4,0.8,1,15,5
14,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,165,3,1,1000,11,-1000,1000,0,0.5,TRUE,1.5,0.8,0.4,0.8,1,15,5
15,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,170,3,1,1000,11,-1000,1000,0,0.5,TRUE,1.5,0.8,0.4,0.8,1,15,5
16,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,175,3,1,1000,11,-1000,1000,0,0.5,TRUE,1,0.8,0.4,0.8,1,15,5
17,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,180,3,1,1000,11,-1000,1000,0,0.5,TRUE,5,0.8,0.4,0.8,1,15,5
18,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,185,3,1,1000,11,-1000,1000,0,0.5,TRUE,1.5,0.8,0.4,0.8,1,15,5
19,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,190,3,1,1000,11,-1000,1000,0,0.5,TRUE,2,0.8,0.4,0.8,1,15,5
20,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,195,3,1,1000,11,-1000,1000,0,0.5,TRUE,2,0.8,0.4,0.8,1,15,5
21,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,200,3,1,1000,11,-1000,1000,0,0.5,TRUE,2,0.8,0.4,0.8,1,15,5
22,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,205,3,1,1000,11,-1000,1000,0,0.5,TRUE,2,0.8,0.4,0.8,1,15,5
23,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,210,3,1,1000,11,-1000,1000,0,0.5,TRUE,2,0.8,0.4,0.8,1,15,5
24,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,215,3,1,1000,11,-1000,1000,0,0.5,TRUE,2,1,0.4,0.8,1,15,5
25,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,220,3,1,1000,11,-1000,1000,0,0.5,TRUE,2,1,0.4,0.8,1,15,5
26,l,TRUE,0.1,10:40,14:25,15:00,1.5,1000,-100,100,225,3,1,1000,11,-1000,1000,0,0.5,TRUE,2,1,0.4,0.8,1,15,5
