S.no,Date,TotalTrades,Profit,Profit%,Cost,Cost%,
1,23-02-21,1,-230.39844,-0.6466054,-301.43204,-0.8459631,
1,15-03-18,1,-22.300781,-0.08973887,-71.97998,-0.2896511,
1,04-01-22,1,273.64844,0.7508573,200.48518,0.55010414,
1,20-11-20,6,993.2461,3.4215822,643.25195,2.218174,
1,24-01-22,1,-275.44922,-0.7298863,-350.65106,-0.92915976,
1,22-03-22,7,1634.793,4.55613,1129.8882,3.1516132,
1,29-02-16,3,31.450195,0.23150826,-53.035263,-0.36871564,
1,01-04-20,2,-201.94922,-1.0988175,-275.2552,-1.4977119,
1,21-04-20,1,-156.94922,-0.8038269,-195.84277,-1.0030282,
1,01-04-21,1,53.453125,0.15874581,-13.944626,-0.041414976,
1,01-04-16,3,-231.69922,-1.4281058,-328.8048,-2.026677,
1,30-08-19,1,-138.10156,-0.5035737,-192.81207,-0.7030717,
1,20-05-22,2,-203.0,-0.59218884,-339.907,-0.99159443,
1,22-03-16,1,-26.199219,-0.16458243,-58.01022,-0.36442116,
1,20-05-20,6,414.19922,2.3443415,200.63171,1.1420144,
1,14-10-19,1,-124.25,-0.43553245,-181.18236,-0.6350944,
1,18-05-21,3,1683.0508,5.033577,1480.7283,4.4285383,
1,18-05-20,1,-91.05078,-0.51258963,-126.485535,-0.7120815,
1,12-06-20,13,418.64453,2.0391643,-108.87561,-0.56289077,
1,07-10-20,3,-4.3027344,-0.018766765,-141.30624,-0.6187583,
1,09-02-22,2,644.4492,1.6918542,491.43866,1.2901592,
1,09-02-21,1,34.5,0.0953065,-37.932503,-0.10479182,
1,19-04-22,1,-175.19922,-0.47210148,-249.24503,-0.67162174,
1,26-05-21,2,-217.7539,-0.62486935,-356.91925,-1.0242519,
1,31-01-23,5,563.5078,1.4060639,160.5098,0.40467232,
1,26-05-22,5,514.25,1.4760212,164.99673,0.47454336,
1,16-07-20,6,97.35156,0.44996437,-160.0227,-0.75047094,
1,06-05-20,1,-107.59961,-0.5445807,-147.00851,-0.74403256,
1,06-11-19,5,832.34375,2.7381327,527.35406,1.7353991,
1,26-05-16,1,31.300781,0.18394426,-2.76342,-0.0162297,
1,27-03-20,3,-318.55078,-1.5501959,-441.30643,-2.1486468,
1,02-08-19,5,-546.8008,-1.9220665,-830.1482,-2.9201384,
1,28-08-20,2,-206.79883,-0.8478425,-304.1516,-1.2470057,
